A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,Year,Race,Gender,Orientation,Transgender
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,Asian,Male,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,Hispanic or Latinx,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,"Hispanic or Latinx, Native Hawaiian or other Pacific Islander",Female,Asexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,,Homosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Nonbinary,Queer,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,First,Asian,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,First,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,First,Black,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,First,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Second,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,"Asian, White",Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,"Hispanic or Latinx, White",Male,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,First,Asian,Male,Bisexual,Yes
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Second,"Black, White",Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,Asian,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Second,"Black, Middle Eastern",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Third,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Black,Nonbinary,Bisexual,Yes
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,First,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,First,"Black, White",Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,First,White,Female,Homosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,"Asian, White",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Homosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,Hispanic or Latinx,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,First,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Third,"Black, White",Male,Asexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,"Hispanic or Latinx, Native Hawaiian or other Pacific Islander",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,First,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,First,"Hispanic or Latinx, White",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Nonbinary,Homosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Fourth,White,Male,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,"Asian, White",Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,"Hispanic or Latinx, White",Female,Homosexual,No
